RQ005;1;2;3;5;8;10;15
29.06.2007;2.65;;2.54;2.523;;2.592;
31.07.2007;2.664;;2.486;2.419;;2.45;
31.08.2007;2.577;;2.315;2.242;;2.332;
28.09.2007;2.078;;2.053;2.086;;2.303;
31.10.2007;1.747;;1.926;1.996;;2.198;
30.11.2007;1.512;;1.693;1.842;;2.108;
31.12.2007;1.668;;1.884;2.027;;2.28;
31.01.2008;3.663;;1.518;1.643;;1.994;
29.02.2008;3.652;;1.221;1.434;;1.939;
31.03.2008;3.964;;1.243;1.536;;1.952;
30.04.2008;4.068;;1.598;1.785;;2.152;
30.05.2008;4.327;;1.825;2.003;;2.269;
30.06.2008;4.634;;1.973;2.209;;2.486;
31.07.2008;2.392;;2.458;2.422;;2.593;
29.08.2008;2.389;2.536;;;;2.534;
30.09.2008;;2.176;;;;2.868;
31.10.2008;;3.056;;;;3.833;
28.11.2008;;3.502;;;;3.424;
31.12.2008;;2.988;;;;2.891;
30.01.2009;;2.04;;;;3.247;
27.02.2009;;2.254;;;;3.317;
31.03.2009;;0.986;;;;2.774;
30.04.2009;;0.8;;;;2.564;
29.05.2009;0.074;0.589;1.072;1.692;2.233;2.539;2.797
30.06.2009;0.153;;1.059;1.7;2.171;2.477;2.791
31.07.2009;0.351;;0.937;1.426;1.902;2.201;2.52
31.08.2009;0.362;;0.797;1.329;1.777;2.048;2.382
30.09.2009;-0.063;;0.521;1.071;1.533;1.874;2.226
30.10.2009;-0.217;;0.41;1.064;1.691;2.02;2.337
30.11.2009;-0.39;;0.338;0.859;1.491;1.836;2.155
31.12.2009;-0.529;;0.328;0.959;1.515;1.844;2.112
29.01.2010;-0.676;;0.564;1.14;1.732;2.071;2.367
26.02.2010;-0.372;;0.342;1.123;1.74;2.088;2.504
31.03.2010;-2.363;;-0.342;0.564;1.373;1.766;2.145
30.04.2010;-3.193;;0.057;0.768;1.537;1.935;2.256
31.05.2010;-0.987;;0.605;1.444;2.069;2.341;2.564
30.06.2010;-0.753;0.678;0.667;1.433;2.187;2.76;2.829
30.07.2010;;0.443;;1.248;;2.465;2.498
31.08.2010;;0.448;;1.151;;2.246;2.32
30.09.2010;;0.12;;1.004;;2.284;2.472
29.10.2010;;0.271;;1.102;;2.231;2.356
30.11.2010;;1.251;;2.163;;3.084;3.27
31.12.2010;;0.859;;1.826;;2.965;3.071
31.01.2011;0.245;0.347;1.63;2.145;;2.789;2.947
28.02.2011;0.228;;1.573;2.104;;2.872;3.056
31.03.2011;-0.675;;1.072;1.731;;2.615;2.785
29.04.2011;-0.517;;1.116;1.802;;2.586;2.77
31.05.2011;0.364;;1.576;1.956;;2.591;2.748
30.06.2011;0.831;;1.94;2.353;2.652;2.854;3.201
29.07.2011;2.236;;3.449;3.552;3.9;4.121;4.359
31.08.2011;2.007;;2.902;3.275;3.688;3.977;4.389
