;2;3;4;5;10;15;20;30
28.02.2003;;;;;2.091;;;2.57
31.03.2003;;;;;2.149;;;2.659
30.04.2003;;;;;2.381;;;2.87
30.05.2003;;;;;2.137;;;2.598
30.06.2003;;;;;2.13;;;2.74
31.07.2003;;;;;2.27;;;2.811
29.08.2003;;;;;2.285;;;2.674
30.09.2003;;;;;2.027;;;2.527
31.10.2003;;;;;2.108;;;2.536
28.11.2003;;;;;2.244;;;2.614
31.12.2003;;;;;2.126;;;2.522
30.01.2004;;;;;2.102;;;2.527
27.02.2004;;;;;1.906;;;2.382
31.03.2004;;;;;1.715;;;2.264
30.04.2004;;;;;1.972;;;2.4
31.05.2004;;;;;1.966;;;2.403
30.06.2004;;;;;1.993;;;2.388
30.07.2004;;;;;1.959;;;2.365
31.08.2004;;;;;1.802;;;2.253
30.09.2004;;;;;1.718;;;2.219
29.10.2004;;;;;1.607;;;2.125
30.11.2004;;;;;1.478;;;2.03
31.12.2004;;;;0.892;1.373;;;1.867
31.01.2005;;;;0.833;1.289;;;1.703
28.02.2005;;;;1.103;1.529;;;1.872
31.03.2005;;;;0.912;1.436;;;1.778
29.04.2005;;;;;;;;1.711
31.05.2005;;;;;;;;1.652
30.06.2005;;;;;;;;1.551
29.07.2005;;;;;;;;1.538
31.08.2005;;;;;;;;1.389
30.09.2005;;;;;;;;1.353
31.10.2005;;;;;;;;1.533
30.11.2005;;;;;;;;1.603
30.12.2005;;;;;;;;1.369
31.01.2006;;;;;;;;1.468
28.02.2006;;;;;;;;1.475
31.03.2006;;;;;;;;1.759
28.04.2006;;;;;;;;1.937
31.05.2006;;;;;;;;1.999
30.06.2006;;1.56;;1.672;1.851;;;1.976
31.07.2006;;1.609;;1.656;1.801;;;1.894
31.08.2006;;1.575;;1.558;1.65;;;1.721
29.09.2006;;1.652;;1.646;1.654;;;1.677
31.10.2006;;1.921;;1.829;1.733;;;1.649
30.11.2006;;1.829;;1.735;1.638;;;1.626
29.12.2006;;1.934;;1.932;1.9;;;1.888
31.01.2007;;2.088;;2.061;2.041;;;2.039
28.02.2007;;2.012;;1.94;1.926;;;
30.03.2007;;1.958;;1.992;2.021;;;
30.04.2007;;2.024;;2.099;2.109;;;
31.05.2007;;2.35;;2.368;2.353;;;
29.06.2007;;2.464;;2.484;2.499;;;
31.07.2007;;2.454;;2.354;2.324;;;
31.08.2007;;;;;2.244;;;
28.09.2007;;;;;2.254;;;
31.10.2007;;;;;2.149;;;
30.11.2007;;;;1.856;2.014;;;
31.12.2007;;;;1.975;2.165;;;
31.01.2008;;;;1.596;1.884;;2.21;
29.02.2008;;;;1.32;1.731;;2.18;
31.03.2008;;;;1.567;1.838;;2.281;
30.04.2008;;;;1.694;1.944;;2.33;
30.05.2008;;1.79;;1.877;2.033;;2.359;
30.06.2008;;1.96;;2.087;2.223;;2.319;
31.07.2008;;2.304;;2.22;2.288;;2.265;
29.08.2008;;2.211;;2.089;2.176;;2.245;
30.09.2008;;1.855;;2.008;2.163;;2.352;
31.10.2008;;2.478;;2.658;2.780;;2.829;
28.11.2008;;2.754;;2.607;;;2.624;
31.12.2008;;1.913;;1.835;;;2.082;
30.01.2009;;1.231;;1.39;;;2.071;
27.02.2009;;1.26;;1.5;;;2.212;
31.03.2009;;0.58;;0.931;;;2.08;
30.04.2009;0.62;0.576;1.06;0.928;;1.94;2.007;
29.05.2009;0.334;;0.872;;;2.078;2;
30.06.2009;0.25;;0.785;;;1.922;1.905;
31.07.2009;0.601;;1.036;;;1.78;1.795;
31.08.2009;0.303;;0.716;;;1.633;1.634;
30.09.2009;-0.183;;0.447;;;1.55;1.647;
30.10.2009;-0.267;;0.364;;;1.747;1.783;
30.11.2009;-0.379;;0.253;;;1.623;1.678;
31.12.2009;-0.464;;0.062;;;1.588;1.629;
29.01.2010;-0.512;;0.096;;1.349;1.681;1.734;
26.02.2010;-0.697;;0.024;;1.313;1.61;1.667;
31.03.2010;-1.243;;-0.446;;1.013;1.323;1.438;
30.04.2010;-1.27;;-0.442;;1.014;1.225;1.335;
31.05.2010;-1.14;-0.511;-0.602;;0.79;1.04;1.123;
30.06.2010;;-0.293;;;0.949;1.267;1.292;
30.07.2010;;-0.072;;;1.002;1.207;1.213;
31.08.2010;;-0.474;;;0.519;0.795;0.945;
30.09.2010;;-0.44;;;0.645;0.999;1.12;
29.10.2010;;-0.265;;;0.72;1.007;1.126;
30.11.2010;;-0.103;;;1.083;1.389;1.525;
31.12.2010;;-0.592;;;1.032;1.348;1.528;
31.01.2011;;-0.292;;0.592;1.122;1.448;1.578;
28.02.2011;;-0.326;;0.529;1.044;1.361;1.567;
31.03.2011;;-0.321;;0.627;1.071;1.402;1.618;
29.04.2011;;-0.334;;0.674;1.05;1.37;1.551;
31.05.2011;0.034;0.067;;0.575;0.945;1.269;1.481;
30.06.2011;0.158;;;0.631;0.904;1.172;1.493;
29.07.2011;0.007;;;0.328;0.697;0.989;1.168;
31.08.2011;-0.126;;;0.34;0.643;1.036;1.296;
30.09.2011;-0.374;;;0.11;0.568;0.939;1.156;
31.10.2011;-0.6;;;0.459;0.99;1.374;1.648;
30.11.2011;0.128;;;1.243;1.632;1.803;2.116;
30.12.2011;-1.182;;;0.547;1.11;1.439;1.652;
31.01.2012;-1.458;;;0.124;0.714;1.214;1.46;
29.02.2012;-1.421;;;-0.007;0.654;1.109;1.421;
30.03.2012;-1.836;;;-0.304;0.554;1.074;1.466;
30.04.2012;-1.788;;-0.132;0.184;0.641;1.148;1.556;
31.05.2012;;;-0.183;0.066;0.392;0.848;1.223;
29.06.2012;;;-0.067;0.203;1.071;1.39;1.401;
31.07.2012;;;-0.71;-0.558;0.283;0.605;;
