;;2;3;4;5;6;7;8;9;10;15;20;30
GFRN2 Index;30.01.1999;2.94;2.996;3.111;3.185;;3.393;;;3.733;3.874;4.378;4.597
;26.02.1999;3.115;3.257;3.386;3.547;;3.711;;;4.123;4.227;4.746;4.983
;31.03.1999;2.885;3.007;3.119;3.351;;3.566;;;4.126;4.253;4.769;5.026
;30.04.1999;2.792;2.958;3.116;3.21;;3.502;;;4.002;4.122;4.68;4.927
;31.05.1999;2.879;3.112;3.33;3.427;;3.689;;;4.255;4.394;4.926;5.154
;30.06.1999;3.253;3.544;3.794;3.957;;4.139;;;4.64;4.753;5.23;5.418
;30.07.1999;3.422;3.841;4.152;4.29;;4.418;;;4.961;4.993;5.441;5.621
;31.08.1999;3.499;3.891;4.209;4.334;;4.512;;;5.052;5.089;5.587;5.744
;30.09.1999;3.601;3.997;4.318;4.465;;4.64;;;5.222;5.213;5.713;5.836
;29.10.1999;4;4.257;4.542;4.68;;4.863;;;5.278;5.279;5.703;5.845
;30.11.1999;4.116;4.25;4.498;4.635;;4.801;;;5.241;5.235;5.673;5.834
;31.12.1999;4.288;4.421;4.69;4.851;;5.012;;;5.478;5.474;5.851;5.976
;31.01.2000;4.448;4.618;4.905;5.08;;5.285;;;5.657;5.654;5.949;6.059
;29.02.2000;4.478;4.884;5.057;5.153;;5.453;;;5.634;5.596;5.862;5.951
;31.03.2000;4.447;4.708;4.846;4.945;;5.125;;;5.341;5.326;5.574;5.671
;28.04.2000;4.613;4.87;4.986;5.078;;5.224;;;5.408;5.408;5.597;5.69
;31.05.2000;4.992;5.104;5.117;5.153;;5.226;;;5.361;5.356;5.529;5.54
;30.06.2000;5.004;5.065;5.086;5.134;;5.26;;;5.379;5.378;5.605;5.596
;31.07.2000;5.165;5.196;5.196;5.211;;5.234;;;5.354;5.379;5.495;5.524
;31.08.2000;5.264;5.295;5.313;5.319;5.323;5.373;5.41;5.461;5.463;;5.55;5.561
;29.09.2000;5.112;5.13;5.144;5.169;5.193;5.247;5.304;5.351;5.381;;5.636;5.676
